id	total	mutual	mutualT	single	singleT
233772370	143	71	9	72	5
46215143	27	26	2	1	0
50332232	141	114	10	27	2
40124341	17	17	1	0	0
198362970	33	13	4	20	8
135602860	17	10	3	7	2
20464898	1978	1811	353	167	34
152691356	33	11	1	22	3
28843448	28	23	5	5	2
18997609	13	8	4	5	2
60913874	74	21	9	53	32
16088237	246	146	9	100	3
16629635	40	27	6	13	6
17395068	12	9	3	3	2
80934091	94	45	13	49	11
258715830	42	11	3	31	12
199912404	19	14	2	5	1
6651102	20	17	4	3	0
90931119	51	8	3	43	7
15877446	33	27	2	6	0
38799446	40	24	6	16	4
148446681	94	79	15	15	5
17792620	377	299	44	78	9
26375384	12	12	1	0	0
33615541	16	15	3	1	1
17720709	14	10	1	4	1
17594917	41	28	12	13	4
17792629	23	17	6	6	1
182018690	49	45	18	4	3
17629860	14	8	5	6	0
37555936	16	11	3	5	1
257150435	80	37	16	43	13
14083962	59	45	3	14	4
34508087	27	22	7	5	1
91408375	25	14	7	11	4
52975190	93	82	8	11	2
16239852	1104	529	107	575	65
93766902	45	26	8	19	6
172784259	13	10	3	3	0
113424720	68	21	4	47	13
102714510	22	6	2	16	4
64495078	115	13	2	102	19
17792653	37	21	5	16	2
26528044	19	9	1	10	2
17531553	14	7	1	7	2
17635162	258	227	52	31	8
15645502	48	34	7	14	5
96462154	18	9	5	9	2
133009244	143	127	13	16	3
179998084	35	24	2	11	1
70462295	611	432	88	179	27
96470688	36	13	2	23	7
213162902	32	30	7	2	2
157451065	26	9	3	17	6
126478319	16	7	0	9	4
14884884	44	15	3	29	12
26109880	18	14	2	4	1
5946652	58	43	13	15	2
43393926	60	32	9	28	6
154337728	21	17	3	4	1
14210295	19	15	3	4	1
63189101	166	144	7	22	1
48804345	19	15	7	4	2
79865773	330	237	10	93	1
163952258	28	11	2	17	0
22993606	25	10	2	15	5
6092922	32	14	4	18	5
44996494	60	47	6	13	5
233600361	13	12	2	1	0
15978300	27	21	1	6	3
11094792	11	9	4	2	2
41708023	17	13	4	4	2
189547176	13	11	3	2	2
142415963	23	10	6	13	7
